"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.42291666436917e-99,0.144786042275489,1,1,1.20542170770717e-94,"0","TPT1"
1.5133838301862e-97,0.582650105814694,0.677,0.721,4.12457629078946e-93,"0","DSP"
1.86653419624771e-96,0.853736335674942,0.528,0.532,5.0870522984535e-92,"0","LAMP2"
4.11142503694679e-96,0.861695536405855,0.462,0.412,1.12052777956948e-91,"0","PFKP"
7.96020700475313e-91,0.98567971130708,0.441,0.402,2.16947481707542e-86,"0","RIPK2"
2.87030465491685e-89,0.331303303450142,0.86,0.915,7.82272830651038e-85,"0","GUK1"
4.31767419670423e-88,1.31966433428325,0.423,0.393,1.17673892556977e-83,"0","SNHG12"
9.014467085376e-88,0.313080243646273,0.895,0.943,2.45680285944838e-83,"0","SEC61B"
4.1638006042901e-87,0.850438160033303,0.473,0.45,1.13480221669322e-82,"0","ARFGAP3"
8.9885960828526e-87,0.559748317736535,0.737,0.81,2.44975197642065e-82,"0","COL18A1"
2.5587482313176e-85,0.840260065105312,0.48,0.424,6.97361242963298e-81,"0","TMEM101"
9.22286564942432e-85,0.911760513131285,0.501,0.514,2.5135998040941e-80,"0","MRPS2"
2.67228338660221e-84,0.879688261330056,0.476,0.459,7.28304114184567e-80,"0","SLC25A29"
5.94164771855071e-84,0.385856240969739,0.806,0.865,1.61933666921381e-79,"0","CANX"
6.53109146670136e-84,0.638644221676832,0.582,0.612,1.77998366833479e-79,"0","RALBP1"
5.25847338604447e-82,0.513195912770797,0.559,0.522,1.43314433663256e-77,"0","MUC16"
6.28536302458543e-82,0.837146377590434,0.497,0.489,1.71301283872051e-77,"0","KMT2C"
6.24865572835328e-79,0.740703261611109,0.52,0.534,1.7030086322054e-74,"0","SYNGR2"
4.04653146672402e-78,0.399178028681784,0.825,0.869,1.10284168594097e-73,"0","HLA-A"
5.97460869866476e-78,0.383025668888836,0.794,0.863,1.62831985473409e-73,"0","SRRM1"
1.62187214010323e-77,0.466225828414772,0.731,0.795,4.42025033063735e-73,"0","ATF4"
1.23200804621823e-76,0.694685796328311,0.609,0.669,3.35771472916315e-72,"0","FAM60A"
1.46091886873944e-76,0.745322978028503,0.52,0.535,3.98158828486247e-72,"0","RNF114"
1.62773310897677e-76,0.636326366404903,0.583,0.612,4.43622381520528e-72,"0","GSN"
1.05051132707749e-75,0.725866736758099,0.54,0.572,2.863063570817e-71,"0","COPS2"
2.01244707399142e-75,0.678167560037892,0.58,0.622,5.48472325545621e-71,"0","SELK"
4.87770030622248e-75,0.846284088730961,0.513,0.535,1.32936844145787e-70,"0","FAM177A1"
5.59310759793379e-75,0.942232290109123,0.496,0.495,1.52434554474088e-70,"0","SCD"
1.79426927939648e-74,0.493638672484261,0.71,0.782,4.89010149406715e-70,"0","ACTN4"
1.51018602054826e-73,0.624717294808942,0.519,0.479,4.11586098040224e-69,"0","SPON1"
4.59945085262413e-73,1.04058503353417,0.416,0.388,1.25353433537418e-68,"0","ZNF217"
7.66167562533267e-73,0.354093179208033,0.772,0.851,2.08811307492817e-68,"0","MRPL14"
2.50398261458217e-72,1.35661687178565,0.317,0.262,6.82435421778225e-68,"0","IRS2"
4.45506516661565e-68,1.16529235687627,0.318,0.26,1.21418346050943e-63,"0","DGKH"
1.58592245978312e-67,1.85648901789244,0.326,0.265,4.32227307189292e-63,"0","ANKRD37"
5.60323092953424e-67,0.861112910771708,0.557,0.544,1.52710455753526e-62,"0","KLF6"
2.18832775511816e-65,0.975469834274396,0.394,0.364,5.96406846379902e-61,"0","RBPMS"
2.87816187936009e-65,0.225004193750698,0.923,0.971,7.84414238600798e-61,"0","TOMM7"
3.38378514949383e-65,0.613404695830837,0.55,0.564,9.22216804643049e-61,"0","ALCAM"
9.88561293301914e-63,0.290809664900557,0.83,0.89,2.69422494876504e-58,"0","KDELR1"
1.10589820517126e-62,0.9859912712519,0.408,0.392,3.01401496837376e-58,"0","PJA2"
1.11139607755818e-62,0.40273359363645,0.719,0.799,3.02899886977706e-58,"0","PTP4A2"
2.13897194671766e-62,0.409004209687852,0.691,0.71,5.82955414358431e-58,"0","S100A16"
5.67776496779186e-62,1.1983888143465,0.323,0.279,1.54741806432199e-57,"0","JOSD1"
8.62246171981577e-62,1.15736727027567,0.361,0.326,2.34996571711859e-57,"0","LMO7"
1.60879160529952e-61,0.947236826034902,0.418,0.405,4.38460064108332e-57,"0","GOLGA2"
4.02621080496116e-61,0.604270904350423,0.549,0.587,1.09730349278411e-56,"0","TRAM1"
4.04981347402333e-61,0.883642284883864,0.4,0.361,1.10373616421032e-56,"0","GDA"
4.18263160423362e-59,0.801042715705732,0.463,0.465,1.13993441741783e-54,"0","FNBP1"
3.7263049787237e-58,0.27149340548331,0.86,0.926,1.01556715890136e-53,"0","CLIC1"
1.71936248864488e-57,1.17947097585056,0.314,0.272,4.68595052655275e-53,"0","SBF2"
1.85385793733101e-57,0.767909112486685,0.513,0.543,5.05250442240194e-53,"0","CTTN"
2.32573420485042e-57,0.566328894302414,0.584,0.64,6.33855600189933e-53,"0","ERGIC1"
2.9104353974111e-57,0.392515819486707,0.774,0.856,7.93210063210421e-53,"0","KRT10"
8.94224741134391e-57,0.775692059092703,0.505,0.541,2.43712010948767e-52,"0","MED10"
1.03463968901516e-56,0.993977993236058,0.416,0.412,2.81980700844193e-52,"0","RAB9A"
1.41927687209049e-56,0.968714205561772,0.371,0.335,3.86809718719542e-52,"0","IRF2"
2.64933555390084e-56,0.254552228024046,0.684,0.878,7.22049911860135e-52,"0","CLU"
3.5687318682111e-55,0.881630721031062,0.4,0.383,9.72622183362254e-51,"0","BTBD3"
3.92227202011882e-55,0.632361847595437,0.537,0.581,1.06897601636318e-50,"0","CALU"
6.11727979585652e-55,0.385537099851951,0.684,0.718,1.66720343556274e-50,"0","MZT2A"
2.37781709610891e-54,0.413238140629994,0.683,0.753,6.48050271373522e-50,"0","SMS"
2.75551371096683e-54,0.436485927521138,0.658,0.725,7.50987706786899e-50,"0","GRN"
5.03550555926832e-54,0.14426729182666,1,0.999,1.37237668512299e-49,"0","RPL30"
5.36408175320741e-54,0.223761195419889,0.715,0.676,1.46192684101915e-49,"0","CLDN10"
6.37684064152009e-54,1.05134252478799,0.375,0.352,1.73794414843988e-49,"0","BCL10"
7.65033164528584e-54,0.207867935296428,0.927,0.97,2.0850213866062e-49,"0","ARPC3"
1.66446489120359e-53,0.74923854822283,0.506,0.532,4.53633261448626e-49,"0","HOXB4"
4.43181365161913e-53,0.419991094869819,0.856,0.908,1.20784649261228e-48,"0","HSPA5"
5.36761225227354e-53,0.118301415584231,0.998,0.999,1.46288904323463e-48,"0","FAU"
6.73344666807256e-53,0.287031952859927,0.849,0.905,1.8351335549165e-48,"0","MT-ND6"
7.58345168854037e-53,0.573293873802986,0.572,0.632,2.06679392319479e-48,"0","WASF2"
3.99631487108815e-52,0.14724672591244,0.998,0.994,1.08915565496636e-47,"0","RPS21"
1.72919130081342e-51,0.192820992066612,0.276,0.437,4.71273797123688e-47,"0","BICD1"
2.56599646707506e-51,1.16257977324693,0.579,0.597,6.99336677136637e-47,"0","IGFBP3"
8.59400371632974e-51,0.347164165672729,0.786,0.816,2.34220977284851e-46,"0","TPM4"
1.6008724453755e-49,1.08460058358837,0.325,0.291,4.36301776262639e-45,"0","NCK1"
5.08576391834499e-49,0.96945818035657,0.308,0.261,1.38607409830574e-44,"0","IRF6"
3.79264017842301e-48,0.698922024984485,0.476,0.498,1.03364615422741e-43,"0","HSBP1L1"
7.7097827596784e-48,0.656295256594928,0.545,0.581,2.10122419332275e-43,"0","EHF"
1.98270673215738e-47,0.199709144977658,0.915,0.963,5.40366892782171e-43,"0","GPX1"
4.39747960075536e-47,0.126695438494558,0.882,0.93,1.19848909038987e-42,"0","TMEM59"
